student_id,longitude,latitude,name,address
4770,105.848724,21.029594,Thanh Vu,Du Lịch Lily's
924,105.8689,21.045214,Dai Vu,Nhà Hàng Mì Vịt Tiềm A Cường
3666,105.806526,21.057417,Anh Le,Cửa Hàng Máy Tính H2P
4839,105.77319,21.074423,Tung Hoang,Cửa Hàng Anubis Gaming Center
3304,105.8,21.038671,Anh Hoang,Nhà hàng Vua Tôm Hùm
5206,105.86547,21.012062,Duc Dang,So4 day A6 Dam Trau
5771,105.841866,21.030481,Vi Bui,
4515,105.877045,21.05629,Anh Hoang,
941,105.943245,21.001467,Tam Tran,Circle K
3075,105.84694,21.022343,Hoa Bui,Cơm Chay Nàng Tấm
3650,105.67862,21.042809,Quoc Pham,FamilyMart
4947,105.849365,21.0153,Tuan Le,SIM Thẻ Tuệ Dương
1511,105.852234,21.034594,Hoai Vu,
2681,105.81784,21.035555,Hai Tran,Quán Lươn Bà Liên
5617,105.93272,21.023594,Chau Bui,Ngọc Linh Mobile
4231,105.85102,21.035372,Bao Pham,
628,105.786125,21.045334,Tao Hoang,Tóc King
1622,105.85122,21.033953,Thanh Dang,Siêu Thị Easy Mart
2465,105.84729,21.038523,Quyen Le,
5156,105.81192,21.011724,Vui Do,Nhà Hàng Bún Việt
5154,105.8131,21.015343,Yen Hoang,Talky cafe $
530,105.84964,21.011002,Quoc Hoang,Mango
2204,105.840706,20.993801,Duc Dang,Phở Cười
4748,105.59563,20.995731,Chau Dang,Trường Tiểu học Ngọc Liệp
2060,105.7955,20.955832,Hoa Dang,Trường Mầm Non Mậu Lương Cơ Sở 1
849,105.83427,21.00842,Tuan Do,Hàng tiêu dùng - nhập khẩu Lào - Thái Lan
2704,105.8333,21.06071,Tram Do,
3523,105.83174,20.96303,Mai Tran,WinMart+
450,105.84494,21.03163,Quoc Ngo,34 Railway
1999,105.8563,21.026608,Lan Bui,Hop On Hop Off
1956,105.85088,21.013922,Duc Do,KRB Authentic
3204,105.84915,21.030008,Hoai Dang,Tired City
207,105.82506,21.016336,Anh Hoang,Nhà Hàng Chay Tuệ Giác
2134,105.80345,21.001263,Bao Tran,Unikmart 2 LVT
3600,105.84714,21.04203,Tung Hoang,Circle K
2132,105.8043,21.00149,Mai Nguyen,Lẩu Gà Ó O - Chicken Hotpot
649,105.853355,20.808018,Hien Hoang,Chợ quê Nghiêm Xá
232,105.354805,21.233461,Bao Ngo,Bích Dung Kids Shop
5801,105.80129,21.015165,Tuan Bui,Magoon
5152,105.82247,21.035196,Bao Pham,THỞ - Wine Space
2208,105.4154,21.207674,Anh Do,Điện máy Anh Mạnh
3663,105.8079,21.062284,Thanh Le,
2707,105.8324,21.057444,Tao Hoang,Nhà Hàng Maison de Têt décor
2620,105.81942,21.030787,Hai Pham,Nhà Hàng New Sake 1
1146,105.78661,21.035816,Dai Pham,WinMart+
3158,105.853455,21.033941,Kim Hoang,The North Face
1306,105.84798,21.030731,Cuong Tran,Крокс
3472,105.83703,21.054375,Hai Le,
5110,105.9794,20.985067,Tuan Dang,Xuân trường
2906,105.84938,21.031387,Vui Ngo,Sen
1787,105.89549,21.06363,Duc Bui,WinMart+
3694,105.81702,21.011417,Hoai Vu,Quán Nhau Tu Do
5574,105.8516,21.02482,Yen Le,
2048,105.70706,20.948656,Tuan Bui,Tiệm Cắt Tóc Tuấn
4610,105.85304,21.035465,Tam Bui,
1144,105.79016,21.036512,Lan Bui,FPT shop
2023,105.8227,20.997868,Vi Bui,vinamart
1886,105.82454,20.963266,Cuong Tran,Nhà Hàng GoGi House
4239,105.85123,21.016195,Minh Le,ShikiMart
1816,105.77794,21.083683,Tuan Do,Tiệm Sửa Xe Máy Duy Tân
644,105.82094,20.983316,Lan Vu,WinMart+
1040,105.83503,21.009527,Hai Le,Calie
1488,105.85513,21.033836,Lan Ngo,Hong Anh
2672,105.78245,21.037897,Tam Tran,Đại học Luật
3937,105.8191,21.01069,Duc Le,Ăn Vặt Mẹ Sữa
4329,105.76078,20.909681,Minh Le,WinMart+
