student_id,longitude,latitude,name,address
2713,105.806946,21.023352,Dai Do,Cho Thuê Áo Dài Lyn
253,105.55151,21.019573,Yen Vu,Quán Chú Béo
4956,105.85086,21.012722,Duc Ngo,AtBoutique
4954,105.85014,21.015026,Kim Nguyen,The Lady House
5109,105.980286,20.984495,Bao Le,Trạm bus
4267,105.79036,21.219011,Thanh Vu,Memos Gift and Souvenir
1932,105.85034,21.015425,Minh Le,Thỏ Accessories
186,105.82734,21.06139,Hai Nguyen,Nhà Hàng La Bicicleta - Barcelona Bistro
4077,105.85063,21.000456,Hai Bui,WinMart+
3214,105.84836,21.03231,Mai Le,190.Bami
4135,105.76347,20.974323,Linh Hoang,WinMart+
2179,105.849045,20.991678,Vi Tran,WinMart+
1801,105.79645,20.986984,Quoc Tran,WinMart+
1860,105.58066,20.891474,Dai Hoang,Quán Kệ
3737,105.796265,21.128242,Chau Le,WinMart+
418,105.81633,21.076677,Cuong Ngo,Nhà Hàng Jewel Diner
4838,105.77325,21.074419,Hoai Pham,Cửa Hàng Anh Minh Gaming Center
1483,105.8543,21.033907,Thanh Vu,O Bun Cha
5904,105.84204,20.983952,Bao Dang,win+ 1 Kim Đồng
3889,105.78023,21.062777,Kim Bui,V10-Nam Hải(Bún)
4509,105.90318,21.088419,Hoai Bui,WinMart+
3158,105.853455,21.033941,Anh Dang,The North Face
4808,105.69641,20.920696,Tung Nguyen,Vinh hoa
363,105.78204,21.065023,Duc Dang,Nông sản fruit
4945,105.87201,21.00101,Vi Le,WinMart+
1468,105.84804,21.037603,Hoai Hoang,
4303,105.81435,20.983456,Hien Pham,WinMart+
2523,105.84641,21.005432,Thu Le,Nhà ăn sinh viên quốc tế
5505,105.73886,21.05272,Hoa Do,WinMart+
1493,105.85391,21.034056,Quyen Pham,
1783,105.781,21.0528,Tuan Hoang,Vincom Plaza Bắc Từ Liêm
2495,105.803925,21.045973,Bao Bui,
3270,105.89327,21.050812,Minh Ngo,GO!
167,105.78936,21.247173,Trinh Do,Trường Tiểu Học Hiền Ninh
2354,105.76608,20.89556,Dai Bui,Trường THCS Bình Minh
5240,105.831924,21.019455,Bao Pham,
251,105.55131,21.020304,Tam Ngo,Vân Hiền
3148,105.898766,21.024776,Quyen Le,WinMart+
3556,105.73588,21.052485,Quoc Hoang,Quán Kiên Vịt
3278,105.80177,21.005123,Mai Do,TOMAT
3689,105.80687,21.048643,Trinh Hoang,Cửa hàng Bánh truyền thống Ba Thể
187,105.91058,21.065554,Yen Pham,Cửa Hàng Đồ Trẻ Em Mia Kids
4652,105.84709,21.03359,Hoai Dang,Sinh travel
2088,105.72996,21.008278,Kim Pham,WinMart+
5257,105.8536,21.016792,Kim Bui,
1771,105.78149,21.04429,Hoa Bui,
4925,105.83394,21.05385,Mai Ngo,Nhà Hàng Kalí
878,105.78141,21.061882,Quoc Ngo,Thế Hưng Motor
2450,105.78482,21.0459,Thu Hoang,Bếp Tốt
5624,105.84583,21.005836,Vui Vu,Trung Barber Shop
3123,105.82623,20.988121,Thu Bui,tuyết huân
3068,105.82475,21.070993,Tuan Tran,Veggie Castle
3887,105.779884,21.063387,Mai Le,V16-Laptop219
3706,105.72665,21.041313,Lan Tran,WinMart+
1378,105.85433,21.033138,Thu Nguyen,phương anh
761,105.849266,21.011076,Cuong Pham,Samsonite
3895,105.78175,21.065851,Hoa Le,Cua hang may
2519,105.81185,21.006714,Kim Dang,WinMart+
807,105.83379,21.035543,Anh Bui,
4360,105.83684,21.02947,Dai Pham,Thanh Xuân Nina Flower
5326,105.78457,21.081715,Hoai Tran,nội thất Thảo Nguyên
1706,105.8093,20.998388,Mai Ngo,Chợ Nhân Chính
5282,105.85176,21.022963,Duc Vu,
1168,105.79439,21.023401,Chau Ngo,WinMart+
1909,105.85119,21.01039,Dai Nguyen,Hao Chi - Dimsum Taipei
2242,105.77682,21.015068,Anh Vu,Siêu Thị K
1601,105.85147,21.03587,Ha Tran,Du Lịch Friends
1253,105.849365,21.02943,Tao Dang,
959,105.7873,20.984531,Cuong Hoang,WinMart+
4257,105.85032,21.030132,Thu Bui,Solasta Restaurant & Bar
5368,105.771935,21.081495,Hoai Tran,tạp hóa Cô Năm
1054,105.83486,21.014135,Bich Tran,WinMart+
554,105.80123,21.031801,Minh Do,WinMart+
4805,105.7533,20.83072,Quoc Bui,Tiến Nhung
5393,105.817764,21.019306,Tam Tran,Du Lịch Phương Nam
3164,105.78245,21.040907,Hien Tran,
5789,105.81496,21.034515,Tam Do,
384,105.8737,20.992252,Lan Pham,Nhà Hàng Sake
2528,105.784225,21.045563,Thu Le,Bánh cuốn nóng
1282,105.77976,20.672945,Tung Vu,Trường THCS Hòa Phú
1083,105.89359,21.051168,Bich Hoang,Điện Máy Xanh
370,105.77323,21.074415,Vui Nguyen,sữa+
2393,105.83368,21.01518,Bao Tran,Nijia
2388,105.83345,21.01538,Tram Do,MasterChef
1428,105.85087,21.03565,Anh Vu,Cửa Hàng Bít Tết Hai Tý
974,105.791916,21.218803,Kim Vu,Viet Nam’s Delights
4624,105.77194,21.081171,Bich Bui,Hoàng Phi
728,105.85815,21.027548,Thanh Vu,VietjetAir
3112,105.81291,21.076605,Linh Bui,Lotte Mart
5455,105.82818,21.004433,Hoa Do,WinMart+
2717,105.777054,21.071087,Minh Bui,Sửa xe Huỳnh Quang
1842,105.71792,20.901346,Quyen Le,
4334,105.878876,21.05125,Bich Dang,
5158,105.80486,21.014559,Quyen Tran,Nhà Hàng Bánh Trắng Hoàng Bèo
4232,105.85003,21.03515,Vui Vu,
5588,105.85085,21.023642,Tam Le,Nhà Hàng New York Sports Bar
2918,105.84822,21.032259,Chau Le,Nun Changed Dac Kim-분짜
2633,105.78623,21.045525,Thu Bui,Onion
4946,105.850334,21.015404,Vi Hoang,Lines
5117,105.825645,21.031944,Vui Le,J&N Hairsalon
